model,task,categories,seq_len,run_id,folder_name,test_set,score_method,f1,precision,recall,accuracy,aupr,auroc,best_threshold,val_f1_tune,n_test_normal_balanced,n_test_ood_balanced,n_test_normal_full,n_test_ood_full,n_val_normal_balanced,n_val_ood_balanced,n_val_normal_full,n_val_ood_full,mad_event,mad_event_median,mad_latency,mad_latency_median
transformer,multitask,3,512,382060,transformer_multitask_cats3_seq512_382060,mem,paper_mad_sum,0.6879655985726397,0.601134449448245,0.8041166002179702,0.6173194533238441,0.6958392928971016,0.6795870670721942,-0.3878746813068856,0.6713836976869626,197044,217461,197044,217461,197476,197476,197476,646822,0.072265625,0.2314453125,0.115234375,0.396484375
transformer,multitask,3,512,382060,transformer_multitask_cats3_seq512_382060,net,paper_mad_sum,0.6118622636516011,0.4727624690998982,0.8669399863340166,0.5836808074436208,0.6186824737964021,0.7334359687877581,-0.3878746813068856,0.6713836976869626,197044,120006,197044,120006,197476,197476,197476,646822,0.072265625,0.2314453125,0.115234375,0.396484375
transformer,multitask,5,512,382062,transformer_multitask_cats5_seq512_382062,cpu,paper_mad_sum,0.6779073955455485,0.5761761783780415,0.8232653403316885,0.6150366288091642,0.6544372742097307,0.6859516337346697,-0.4227711376148875,0.693367316229808,197044,190902,197044,190902,197476,197476,197476,646822,0.072265625,0.232421875,0.140625,0.671875
transformer,multitask,5,512,382062,transformer_multitask_cats5_seq512_382062,disk,paper_mad_sum,0.5952957261346266,0.46739090372991304,0.8195794252845706,0.570051772450573,0.6609556084406366,0.7104024667026975,-0.4227711376148875,0.693367316229808,197044,123783,197044,123783,197476,197476,197476,646822,0.072265625,0.232421875,0.140625,0.671875
transformer,multitask,5,512,382062,transformer_multitask_cats5_seq512_382062,mem,paper_mad_sum,0.7214220454667598,0.6191345314378902,0.8641963386538276,0.6498522333868108,0.7303883966155976,0.7297135648565631,-0.4227711376148875,0.693367316229808,197044,217461,197044,217461,197476,197476,197476,646822,0.072265625,0.232421875,0.140625,0.671875
transformer,multitask,5,512,382062,transformer_multitask_cats5_seq512_382062,net,paper_mad_sum,0.6185368141774527,0.4771301543652391,0.8790643801143276,0.589594701151238,0.6506434671884758,0.7550011845188378,-0.4227711376148875,0.693367316229808,197044,120006,197044,120006,197476,197476,197476,646822,0.072265625,0.232421875,0.140625,0.671875
transformer,multitask,7,512,382065,transformer_multitask_cats7_seq512_382065,cpu,paper_mad_sum,0.6515160048389604,0.5715646554279729,0.7574724204041864,0.6012563604212957,0.627755466088503,0.6511820788508453,-0.17643733850129184,0.6750707542074449,197044,190902,197044,190902,197476,197476,197476,646822,0.0703125,0.2333984375,0.16796875,0.87890625
transformer,multitask,7,512,382065,transformer_multitask_cats7_seq512_382065,disk,paper_mad_sum,0.5799998165176892,0.46663779868519467,0.7661148946139615,0.5719094714596964,0.6496554592914943,0.6911977994347023,-0.17643733850129184,0.6750707542074449,197044,123783,197044,123783,197476,197476,197476,646822,0.0703125,0.2333984375,0.16796875,0.87890625
transformer,multitask,7,512,382065,transformer_multitask_cats7_seq512_382065,mem,paper_mad_sum,0.6848569237599387,0.6102114866638617,0.7803100326035473,0.6232470054643491,0.6935551378882123,0.6756763338752219,-0.17643733850129184,0.6750707542074449,197044,217461,197044,217461,197476,197476,197476,646822,0.0703125,0.2333984375,0.16796875,0.87890625
transformer,multitask,7,512,382065,transformer_multitask_cats7_seq512_382065,net,paper_mad_sum,0.6314212610928353,0.49294562329254143,0.8780894288618902,0.6119791830941492,0.6500941218594013,0.7615332985947416,-0.17643733850129184,0.6750707542074449,197044,120006,197044,120006,197476,197476,197476,646822,0.0703125,0.2333984375,0.16796875,0.87890625
transformer,multitask,9,512,382067,transformer_multitask_cats9_seq512_382067,cpu,paper_mad_sum,0.6630489005721623,0.5657916166955389,0.8006830729903301,0.5995473596840798,0.635302296901967,0.6613051717657663,-0.4829300820707063,0.6847128130826939,197044,190902,197044,190902,197476,197476,197476,646822,0.0732421875,0.2353515625,0.1875,1.0
transformer,multitask,9,512,382067,transformer_multitask_cats9_seq512_382067,disk,paper_mad_sum,0.5922790135495342,0.4637237242728744,0.8194501668242005,0.5647093293270204,0.6710081839515393,0.7137725475977504,-0.4829300820707063,0.6847128130826939,197044,123783,197044,123783,197476,197476,197476,646822,0.0732421875,0.2353515625,0.1875,1.0
transformer,multitask,9,512,382067,transformer_multitask_cats9_seq512_382067,mem,paper_mad_sum,0.6988983398336919,0.6052045260259957,0.8269160907013211,0.6261975126958661,0.7045407122343674,0.6911058558652812,-0.4829300820707063,0.6847128130826939,197044,217461,197044,217461,197476,197476,197476,646822,0.0732421875,0.2353515625,0.1875,1.0
transformer,multitask,9,512,382067,transformer_multitask_cats9_seq512_382067,net,paper_mad_sum,0.6329714767951934,0.4836630939542663,0.9156292185390731,0.598079167323766,0.6763082632315489,0.7841057720176522,-0.4829300820707063,0.6847128130826939,197044,120006,197044,120006,197476,197476,197476,646822,0.0732421875,0.2353515625,0.1875,1.0
